epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.44091,1.53635,3.14575,0.9543,0.00324,0.97059,0.01533,0.00634,1.09961,3.91364,0.88906,0.000653595,0.000653595,0.000653595
2,8.79859,1.33404,1.74987,0.91898,0.83988,0.26471,0.51235,0.32397,1.34851,3.39937,1.14961,0.00130719,0.00130719,0.00130719
3,12.1488,1.35548,1.46164,0.9421,0.69199,0.92523,0.832,0.43065,1.32348,1.9297,1.00937,0.00194759,0.00194759,0.00194759
4,15.468,1.38079,1.23996,0.96418,0.70692,0.94118,0.79558,0.51957,1.13552,3.07863,0.99084,0.0019406,0.0019406,0.0019406
5,18.7664,1.25321,1.01336,0.93016,0.83113,0.97059,0.86562,0.56553,1.41617,1.52885,1.14899,0.0019208,0.0019208,0.0019208
6,22.0616,1.26014,0.87157,0.95514,0.99445,0.76471,0.86449,0.61983,1.10629,1.19688,1.11486,0.001901,0.001901,0.001901
7,25.3842,1.14853,0.79756,0.91387,0.91675,1,0.95899,0.69651,0.93973,0.95257,0.98576,0.0018812,0.0018812,0.0018812
8,28.6972,1.12411,0.73437,0.89014,0.97132,0.99625,0.99271,0.62815,1.01667,0.83351,1.106,0.0018614,0.0018614,0.0018614
9,31.9732,1.10176,0.69781,0.90489,0.97066,0.97059,0.99389,0.74719,1.21224,0.89256,1.05122,0.0018416,0.0018416,0.0018416
10,35.2714,1.04677,0.65227,0.88788,0.96948,0.9344,0.98505,0.71725,1.06653,0.85006,1.06514,0.0018218,0.0018218,0.0018218
11,38.5674,1.0883,0.64351,0.87916,0.93261,1,0.9904,0.75692,0.87368,0.71623,1.03662,0.001802,0.001802,0.001802
12,41.8737,1.03018,0.65364,0.86782,0.99178,0.97059,0.992,0.75021,0.88916,0.73325,1.01514,0.0017822,0.0017822,0.0017822
13,45.1693,0.99784,0.59721,0.87523,1,0.99355,0.995,0.76269,0.93513,0.66648,1.00019,0.0017624,0.0017624,0.0017624
14,48.4844,0.96184,0.59084,0.8641,1,0.99408,0.995,0.75624,1.03161,0.66591,1.08694,0.0017426,0.0017426,0.0017426
15,51.7832,0.98259,0.58438,0.87,0.99408,0.97059,0.99443,0.75252,1.0225,0.76638,0.90512,0.0017228,0.0017228,0.0017228
16,55.0772,0.95637,0.56748,0.85066,0.98855,1,0.995,0.74516,1.05438,0.61396,0.94741,0.001703,0.001703,0.001703
17,58.3745,0.90468,0.54889,0.86865,1,0.99467,0.995,0.78504,0.91584,0.64724,0.88419,0.0016832,0.0016832,0.0016832
18,61.6929,0.91104,0.54536,0.86284,0.96785,1,0.99271,0.79169,0.75606,0.62722,0.85095,0.0016634,0.0016634,0.0016634
19,65.0045,0.93369,0.52411,0.85122,0.96958,1,0.99357,0.76156,0.93603,0.68957,0.88698,0.0016436,0.0016436,0.0016436
